ProductID,ProductName,Category,Price
1001,Wireless Mouse,Electronics,19.99
1002,Notebook,Stationery,2.49
1003,Water Bottle,Home,8.99
1004,Desk Lamp,Electronics,24.50
1005,Backpack,Accessories,34.99
1006,Running Shoes,Sports,59.95
1007,USB Cable,Electronics,5.99
1008,Coffee Mug,Home,7.50
1009,Pen Set,Stationery,3.99
1010,Headphones,Electronics,29.99
1011,Notebook Stand,Accessories,15.99
1012,Smart Watch,Electronics,99.99
1013,Gym Towel,Sports,12.49
1014,Sticky Notes,Stationery,1.99
1015,Travel Pillow,Accessories,14.99
1016,Desk Organizer,Home,11.99
1017,Power Bank,Electronics,22.99
1018,Waterproof Bag,Sports,18.99
1019,Marker Set,Stationery,4.49
1020,Table Clock,Home,13.50